forskrift om fredning av statens kulturhistoriske eiendommer	forskrift/2011-11-09-1088
forskrift om fremmedartede dyr m.v. 	forskrift/1976-11-20-3
forskrift om fremvisning av dyr	forskrift/2012-03-27-261
forskrift om fri inntekt og inntektsgrenser|forskrift om inntekt for uførepensjonister|forskrift om friinntekt og inntektsgrenser	forskrift/1997-04-30-392
forskrift om førerkort|førerkortforskriften	forskrift/2004-01-19-298
forskrift om gebyr for visse overtredelser av vegtrafikklovgivningen	forskrift/1993-09-17-855
forskrift om generelle tillatelser til bruk av frekvenser|fribruksforskriften	forskrift/2012-01-19-77
forskrift om gjennomføring av konkurransereglene i eøs-avtalen mv|forskrift om konkurransereglene i eøs-avtalen	forskrift/2011-12-21-1518
forskrift om gjennomføringen av bestemmelsene om inntektsprøving av forskott|forskrift om inntekstprøving av forskott	forskrift/2003-02-06-125
forskrift om gjennomføringen av fordeling av skatt mv mellom skattekreditorene|forskrift om skattefordeling mellom skattekreditorene	forskrift/2012-06-20-627
forskrift om gjenvinning og behandling av avfall|avfallsforskriften	forskrift/2004-06-01-930
forskrift om godkjenning av biocider og biocidprodukter|biocidforskriften	forskrift/2003-12-18-1848
forskrift om godtgjørelse for nødhjelp til dyr	forskrift/2012-04-17-330
forskrift om helse og sikkerhet i eksplosjonsfarlige atmosfærer	forskrift/2003-06-30-911
forskrift om hindring av forurensning fra skip|marpol-forskriften	forskrift/1983-06-16-1122
forskrift om hold av pelsdyr|pelsdyrforskriften	forskrift/2011-03-17-296
forskrift om hunder|hundeforskriften	forskrift/2004-08-20-1204
forskrift om husleietvistutvalget|forskrift om husleietvistutvalg|husleietvistutvalgforskriften|htu-forskriften	forskrift/2000-09-28-1020
forskrift om håndtering av brannfarlig, reaksjonsfarlig og trykksatt stoff mv|forskrift om håndtering av farlig stoff	forskrift/2009-06-08-602
forskrift om håndtering av eksplosjonsfarlig stoff	forskrift/2002-06-26-922
forskrift om individuell plan i arbeids- og velferdsforvaltningen	forskrift/2010-11-19-1462
forskrift om industrivern	forskrift/2011-12-20-1434
forskrift om informasjonssikkerhet	forskrift/2001-07-01-744
forskrift om infrastruktur for geografisk informasjon|geodataforskriften	forskrift/2012-08-08-797
forskrift om inkassosatsen	forskrift/2002-12-13-1641
forskrift om innkalling og utsettelse ved fullbyrding av straff|forskrift om fullbyrding av straff	forskrift/2010-03-19-408
forskrift om innkjøpsregler i forsyningssektorene|forsyningsforskriften	forskrift/2006-04-07-403
forskrift om innsamling og behandling av helseopplysninger i kreftregisteret|kreftregisterforskriften	forskrift/2001-12-21-1477
forskrift om innsamling og behandling av helseopplysninger i medisinsk fødselsregister|medisinsk fødselsregisterforskriften	forskrift/2001-12-21-1483
forskrift om innsamling og behandling av helseopplysninger i norsk pasientregister|norsk pasientregisterforskriften|npr-forskriften	forskrift/2007-12-07-1389
forskrift om internkontroll i sosial- og helsetjeneste|internkontrollforskrift i sosial-/helsetjenesten	forskrift/2002-12-20-1731
forskrift om kjøre- og hviletid	forskrift/1993-09-28-910
forskrift om kjøre- og hviletid for vegtransport i eøs	forskrift/2007-07-02-877
forskrift om klagenemnd for fly- og jernbanepassasjerer|transportklagenemndforskriften	forskrift/2012-01-20-84
forskrift om klagenemnd for offentlige anskaffelser|kofa-forskriften	forskrift/2002-11-15-1288
forskrift om klagenemnd for revisor- og regnskapsførersaker	forskrift/2012-02-01-111
forskrift om klagenemnda for miljøinformasjon|miljøinformasjonsforskriften	forskrift/2003-12-14-1572
forskrift om kommunal beredskapsplikt	forskrift/2011-08-22-894
forskrift om kommunal håndheving av politivedtekter	forskrift/2012-06-19-600
forskrift om kommunikasjonskontroll|kommunikasjonskontrollforskriften	forskrift/1995-03-31-281
forskrift om kompensasjon av merverdiavgift til kommuner, fylkeskommuner mv|kompensasjonsforskriften	forskrift/2003-12-12-1566
forskrift om konkurransekjøring med motorvogn på veg åpen for alminnelig ferdsel	forskrift/2011-04-07-395
forskrift om konstruksjon, utforming og fremstilling av tekniske innretninger|produsentforskriften	forskrift/2011-12-06-1359
forskrift om kontrollutvalg i kommuner og fylkeskommuner	forskrift/2004-06-15-905
forskrift om krav til byggverk og produkter til byggverk|teknisk forskrift	forskrift/1997-01-22-33
forskrift om krav til minstealder og båtførerbevis mv for fører av fritidsbåt|forskrift om krav til fører av fritidsbåt	forskrift/2009-03-03-259
forskrift om krav til taksametre	forskrift/2009-10-01-1226
forskrift om kredittavtaler mv	forskrift/2010-05-07-654
forskrift om kringkasting|kringkastningsforskriften|kringkastingsforskriften	forskrift/1997-02-28-153
forskrift om kvalitetssikring og kvalitetsutvikling i høyere utdanning og fagskoleutdanning|forskrift om kvalitet i høyere utdanning	forskrift/2010-02-01-96
forskrift om kvoteplikt og handel med kvoter for utslipp av klimagasser|klimakvoteforskriften	forskrift/2004-12-23-1851
forskrift om køprising	forskrift/2011-10-25-1044
forskrift om landtransport av farlig gods	forskrift/2009-04-01-384
forskrift om legemidler|legemiddelforskriften	forskrift/2009-12-18-1839
forskrift om leveringskvalitet i kraftsystemet	forskrift/2004-11-30-1557
forskrift om ligningsmyndigheter for svalbard	forskrift/2007-12-04-1354
forskrift om lisens til helsepersonell	forskrift/2000-12-21-1379
forskrift om lufttransporttjenester i eøs	forskrift/2011-08-12-833
forskrift om materialer og gjenstander i kontakt med næringsmidler|matkontaktforskriften	forskrift/1993-12-21-1381
forskrift om menerstatning ved yrkesskade|menerstatning ved yrkesskade	forskrift/1997-04-21-373
forskrift om merking mv av næringsmidler	forskrift/1993-12-21-1385
forskrift om miljømessig sikkerhet for skip og flyttbare innretninger|forskrift om miljømessig sikkerhet for skip mv	forskrift/2012-05-30-488
forskrift om miljøvennlig utforming av energirelaterte produkter|økodesignforskriften	forskrift/2011-02-23-190
forskrift om måling, avregning og samordnet opptreden|forskrift om måling og avregning|forskrift nr 301	forskrift/1999-03-11-301
forskrift om narkotika|narkotikaforskriften|narkotikalisten	forskrift/1978-06-30-8
forskrift om nedsettelse av pensjonsgivende inntekt mv	forskrift/1997-12-18-1408
forskrift om notarius publicus	forskrift/2002-05-03-418
forskrift om næringsmessig transport av dyr	forskrift/2012-02-08-139
forskrift om offentlege arkiv|arkivforskriften|arkivforskrifta	forskrift/1998-12-11-1193
forskrift om offentlig parkeringsregulering og parkeringsgebyr	forskrift/1993-10-01-921
forskrift om offentlig telenett og offentlig teletjeneste|offentlignettforskriften|teleforskriften	forskrift/1997-12-05-1259
forskrift om offentlige anskaffelser|forskrift om offentlege anskaffelser|anskaffelsesforskriften	forskrift/2006-04-07-402
forskrift om offentlige trafikkskilt, vegoppmerking, trafikklyssignaler og anvisninger|skiltforskriften	forskrift/2005-10-07-1219
forskrift om offentlighet i rettspleien	forskrift/2001-07-06-757
forskrift om omregistreringsavgift	forskrift/1986-07-02-1430
forskrift om oppbevaring av elektronisk regnskapsmateriale i eøs	forskrift/2010-06-03-759
forskrift om oppgaveplikt for fiske- og fangstfartøy	forskrift/1993-07-26-772
forskrift om opplæring av personell med arbeidsoppgaver|opplæringsforskriften - trafikksikkerhet	forskrift/2002-12-18-1679
forskrift om organisering, ledelse og medvirkning	forskrift/2011-12-06-1355
forskrift om overgangsregler til tvisteloven	forskrift/2007-01-26-88
forskrift om parkering for forflytningshemmede	forskrift/1994-03-15-222
forskrift om pasientjournal|pasientjournalforskriften|journalforskriften	forskrift/2000-12-21-1385
forskrift om pedagogisk bemanning	forskrift/2005-12-16-1507
forskrift om pliktmessig avhold for helsepersonell	forskrift/2012-05-04-400
forskrift om politiattest i henhold til arbeidsmarkedsloven	forskrift/2012-03-23-248
forskrift om politiets utlendingsinternat|utlendingsinternatforskriften	forskrift/2009-12-23-1890
forskrift om postforkynning|postforkynningsforskriften	forskrift/1985-10-11-1810
forskrift om preimplantasjonsdiagnostikknemnda	forskrift/2008-06-27-721
forskrift om prikkbelastning|prikkforskriften	forskrift/2003-09-19-1164
forskrift om prisopplysning for tjenester|prisopplysningsforskriften	forskrift/1997-11-28-1382
forskrift om produksjon, omforming, overføring, omsetning, fordeling og bruk av energi m.m|energilovforskriften	forskrift/1990-12-07-959
forskrift om program mot ruspåvirket kjøring	forskrift/2008-10-10-1100
forskrift om prøveordning med elektronisk kommunikasjon med domstolene	forskrift/2012-02-12-140
forskrift om prøveordning med narkotikaprogram|narkotikaprogramforskriften	forskrift/2005-12-16-1518
forskrift om pålegg om revisjon mv	forskrift/2012-05-02-390
forskrift om rammer for vannforvaltningen|vannforskriften	forskrift/2006-12-15-1446
forskrift om registrering av foretak	forskrift/1987-12-18-984
forskrift om registrering av juridiske personer m.m i enhetsregisteret|enhetsregisterforskriften	forskrift/1995-02-09-114
forskrift om regulerte markeder|børsforskriften	forskrift/2007-06-29-875
forskrift om reisegaranti|reisegarantiforskriften	forskrift/2007-01-03-3
forskrift om rekvirering og utlevering av legemidler fra apotek|rekvireringsforskriften|utleveringsforskriften	forskrift/1998-04-27-455
forskrift om rettigheter og bruk av tvang under opphold i barneverninstitusjon	forskrift/2011-11-15-1103|forskrift/2002-12-12-1594
forskrift om rettsgebyr|rettsgebyrforskriften	forskrift/1983-02-15-86
forskrift om revisjon i kommuner og fylkeskommuner mv	forskrift/2004-06-15-904
forskrift om revisjon og revisorer|revisorforskriften	forskrift/1999-06-25-712
forskrift om salær fra det offentlige til advokater	forskrift/2005-12-12-1442|forskrift/1997-12-03-1441
forskrift om samvirke mellom bestemmelsene i bygningslovene|forskrift om samvirke mellom bestemmelsene i bygningslov	forskrift/2009-06-15-669
forskrift om selskapets opplysningsplikt før og etter generalforsamlingen i visse allmennaksjeselska	forskrift/2009-07-06-983
forskrift om sertifisering av flygere og krav til flygetreningsorganisasjoner for fly og helikopter|jar-fcl-forskriften	forskrift/2009-11-20-1407
forskrift om sikkerhet ved lekeplassutstyr	forskrift/1996-07-19-703
forskrift om sikkerhet, helse og arbeidsmiljø på bygge- eller anleggsplasser|byggherreforskriften	forskrift/2009-08-03-1028
forskrift om sikkerhetsforvaltning av veginfrastrukturen|vegsikkherhetsforskriften	forskrift/2011-10-28-1053
forskrift om skatt til svalbard	forskrift/1997-12-15-1305
forskrift om skytevåpen, våpendeler og ammunisjon mv|våpenforskriften	forskrift/2009-06-25-904
forskrift om smittevern i helsetjenesten	forskrift/2005-06-17-610
forskrift om standardisert erstatning etter lov om yrkesskadeforsikring|standardiseringsforskriften|standardforskriften	forskrift/1990-12-21-1027
forskrift om standardsatser for oppreisning etter uberettiget strafforfølgning|forskrift om standardsatser for oppreisning	forskrift/2003-12-12-1472
forskrift om statsgaranti for lønnskrav ved konkurs|lønnsgarantiforskriften	forskrift/1998-10-28-999
forskrift om stillaser, stiger og arbeid på tak|forskrift om stillaser|stillasforskriften|stigeforskriften	forskrift/1989-04-14-335
forskrift om strafferegistrering|strafferegistreringsforskriften	forskrift/1974-12-20-4
forskrift om strukturkvoteordning mv for havfiskeflåten	forskrift/2005-03-04-193
forskrift om strålevern og bruk av stråling|strålevernforskriften	forskrift/2010-10-29-1380
forskrift om svangerskapsavbrudd|abortforskriften	forskrift/2001-06-15-635
forskrift om sykkelritt på veg	forskrift/2011-04-07-396
forskrift om systematisk helse-, miljø- og sikkerhetsarbeid i virksomheter|internkontrollforskriften	forskrift/1996-12-06-1127
forskrift om særavgifter|særavgiftsforskriften	forskrift/2001-12-11-1451
forskrift om taksering og erstatning av naturskader|forskrift om naturskadeserstatning|forskrift om naturskadeerstatning|naturskadeerstatningsforskriften|naturskadeerstatningforskriften	forskrift/1995-06-02-515
forskrift om tap av rett til å føre motorvogn|førerrettforskriften|førerettforskriften|tapsforskriften	forskrift/2003-12-19-1660
forskrift om tekniske krav til byggverk|byggteknisk forskrift	forskrift/2010-03-26-489
forskrift om tildeling og drift ved havbeiteverksemd	forskrift/2003-08-28-1110
forskrift om tillatelse til akvakultur av andre	forskrift/2004-12-22-1799
forskrift om tillatelse til akvakultur for laks|laksetildelingsforskriften	forskrift/2004-12-22-1798
forskrift om tilsetningsstoffer til næringsmidler	forskrift/2011-06-06-668
forskrift om tilskudd til sikring mot naturskader	forskrift/2007-05-09-499
forskrift om tiltak mot hvitvasking og terrorfinansiering mv|hvitvaskingsforskriften	forskrift/2009-03-13-302
